"","Date","BURGLARY","FELONY ASSAULT","GRAND LARCENY","GRAND LARCENY OF MOTOR VEHICLE","MURDER & NON-NEGL. MANSLAUGHTE","RAPE","ROBBERY"
"1",2006-01-01,38,89,233,37,5,47,55
"2",2006-01-02,39,33,104,48,3,3,60
"3",2006-01-03,65,26,124,47,1,7,73
"4",2006-01-04,74,45,114,49,1,2,78
"5",2006-01-05,68,40,127,47,0,1,69
"6",2006-01-06,96,53,150,44,1,2,80
"7",2006-01-07,46,39,89,45,1,6,62
"8",2006-01-08,50,50,98,44,2,1,67
"9",2006-01-09,92,43,138,35,3,7,74
"10",2006-01-10,80,35,136,35,2,7,62
"11",2006-01-11,65,39,125,44,2,1,69
"12",2006-01-12,72,46,126,43,0,6,72
"13",2006-01-13,90,61,165,38,0,4,105
"14",2006-01-14,43,44,108,46,4,8,69
"15",2006-01-15,35,37,104,38,1,6,57
"16",2006-01-16,49,32,86,34,1,6,50
"17",2006-01-17,71,32,110,51,1,3,74
"18",2006-01-18,80,32,117,43,1,5,74
"19",2006-01-19,68,38,145,56,2,5,70
"20",2006-01-20,85,44,164,49,1,5,72
"21",2006-01-21,58,42,121,50,1,4,60
"22",2006-01-22,42,47,93,41,2,6,58
"23",2006-01-23,68,42,122,44,2,6,80
"24",2006-01-24,74,38,109,41,1,6,72
"25",2006-01-25,64,27,128,41,2,4,75
"26",2006-01-26,50,25,112,34,0,1,51
"27",2006-01-27,83,44,130,29,1,5,63
"28",2006-01-28,46,48,110,39,1,4,58
"29",2006-01-29,39,62,81,42,2,7,50
"30",2006-01-30,67,45,126,38,1,4,56
"31",2006-01-31,71,20,81,42,0,4,65
"32",2006-02-01,64,33,187,38,2,20,53
"33",2006-02-02,65,45,112,33,1,3,62
"34",2006-02-03,84,37,130,48,3,4,74
"35",2006-02-04,44,62,99,38,1,2,61
"36",2006-02-05,37,47,84,26,6,1,46
"37",2006-02-06,61,34,111,38,0,2,62
"38",2006-02-07,45,28,98,47,1,2,62
"39",2006-02-08,51,33,95,43,0,4,48
"40",2006-02-09,64,23,126,40,2,4,56
"41",2006-02-10,86,41,149,47,0,6,61
"42",2006-02-11,54,47,110,53,1,3,58
"43",2006-02-12,21,27,51,19,1,3,30
"44",2006-02-13,57,23,80,32,0,1,43
"45",2006-02-14,54,28,122,26,1,6,48
"46",2006-02-15,47,35,98,36,1,5,61
"47",2006-02-16,59,43,104,30,1,3,73
"48",2006-02-17,91,50,145,37,4,6,75
"49",2006-02-18,49,39,91,38,0,1,40
"50",2006-02-19,29,48,88,34,4,7,53
"51",2006-02-20,42,35,98,38,0,3,41
"52",2006-02-21,81,29,108,37,1,2,47
"53",2006-02-22,59,31,107,35,0,5,39
"54",2006-02-23,67,24,123,41,2,2,38
"55",2006-02-24,59,30,77,38,4,4,49
"56",2006-02-25,40,55,81,35,3,5,46
"57",2006-02-26,23,42,74,33,0,5,37
"58",2006-02-27,68,37,118,40,2,1,47
"59",2006-02-28,74,38,106,49,2,6,77
"60",2006-03-01,60,39,185,41,0,17,55
"61",2006-03-02,63,40,102,29,1,3,41
"62",2006-03-03,77,35,139,46,1,0,72
"63",2006-03-04,45,54,95,28,1,4,39
"64",2006-03-05,38,52,78,50,3,2,53
"65",2006-03-06,76,40,119,34,2,2,69
"66",2006-03-07,65,37,96,30,0,4,61
"67",2006-03-08,55,36,106,31,0,6,66
"68",2006-03-09,68,35,124,44,1,2,62
"69",2006-03-10,80,43,119,41,0,5,69
"70",2006-03-11,46,58,115,43,2,1,60
"71",2006-03-12,31,60,75,43,1,7,50
"72",2006-03-13,68,42,139,39,0,4,76
"73",2006-03-14,74,42,123,32,1,2,64
"74",2006-03-15,70,29,126,36,0,2,57
"75",2006-03-16,55,36,134,39,1,2,54
"76",2006-03-17,82,47,135,30,0,3,71
"77",2006-03-18,53,46,107,29,1,2,54
"78",2006-03-19,34,54,91,38,2,3,47
"79",2006-03-20,75,54,109,41,0,5,63
"80",2006-03-21,52,48,106,31,2,1,48
"81",2006-03-22,72,30,115,38,0,2,61
"82",2006-03-23,61,38,125,44,0,1,52
"83",2006-03-24,84,47,133,37,0,5,60
